Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
"C1, C14, C15, C16, C17, C20, C21, C22, C23, C4, C6, C7",0402,12,100n,
"C10, C11, C8, C9",0402,4,15p,
C12,0402,1,1.8p,
C13,0402,1,1.2p,
"C18, C19, C24",0402,3,1u,
"C2, C25, C26, C27, C3, C5",0805,6,10u,
"D1, D2",0402,2,LED,
"D3, D4",SOT-23-3,2,ESDA5V3L,
D5,D_SOD-123,1,1N4148W,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1, L2",0805,2,4.7u,
L3,0402,1,3n,
"Q1, Q2, Q3",DFN-5-1EP_3x3mm_P0.65mm_AON7262E,3,AON7262E,
R1,0402,1,30,
"R10, R14, R15, R9",0402,4,5.1k,
R11,0402,1,1k,
"R12, R13",0402,2,100k,
"R16, R18, R3, R6, TH1",0402,5,10k,
R17,0402,1,31.6k,
R2,0402,1,56k,
"R4, R7, R8",0402,3,100,
R5,0805,1,5m,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
U10,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,
U2,SOT-23-6,1,TPS56339DDC,
U3,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,AP33772SDKZ-xx-FA02,
"U4, U6",SOT-23-6,2,TXS0101DBV,
U5,SOT-23-6,1,TMP100,
U7,SOT-23-6,1,ADS1110,
U8,TSOT-23-6,1,LM2842Y,
U9,SOT-23-5,1,MCP1416,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.786KHz,
