Designator,Mid X,Mid Y,Rotation,Layer
AE1,109.4,-108.85,180.0,top
C1,98.9325,-101.25,270.0,top
C12,110.13,-100.965,180.0,top
C13,110.13,-103.745,180.0,top
C14,108.79,-98.425,0.0,top
C15,108.79,-99.345,0.0,top
C16,112.23,-100.445,90.0,top
C17,96.74,-85.85,270.0,top
C18,96.74,-77.8,90.0,top
C19,93.52,-75.45,270.0,top
C2,94.6825,-105.335,270.0,top
C20,93.52,-73.56,90.0,top
C21,99.66,-82.75,0.0,top
C22,117.881599,-96.938408,180.0,top
C23,114.981599,-90.988408,270.0,top
C24,86.57,-75.17,180.0,top
C25,88.02,-72.48,90.0,top
C26,87.54,-94.0,90.0,top
C27,82.15,-99.98,180.0,top
C3,94.6825,-100.71,90.0,top
C4,92.9625,-102.05,270.0,top
C5,98.2825,-106.26,270.0,top
C6,99.9425,-105.52,90.0,top
C7,82.06,-95.05,180.0,top
C8,105.07,-95.28,270.0,top
C9,106.951599,-98.378408,180.0,top
D1,94.54,-86.98,90.0,top
D2,88.5,-77.38,0.0,top
D3,88.82,-85.53,180.0,top
D4,101.26,-80.23,180.0,top
D5,86.56,-96.9,0.0,top
H1,80.0,-73.5,0.0,top
H2,132.0,-73.5,0.0,top
H3,132.0,-110.5,0.0,top
H4,80.0,-110.5,0.0,top
J1,78.445678,-84.984139,270.0,top
J2,131.7775,-101.54,270.0,top
J3,131.3725,-85.96,270.0,top
J4,98.62,-112.12,270.0,top
L1,97.6725,-103.02,180.0,top
L2,84.8,-94.88,0.0,top
L3,110.57,-102.35,270.0,top
Q1,131.275,-93.36,270.0,top
Q2,100.06,-74.475,0.0,top
Q3,96.24,-74.475,0.0,top
R1,100.8925,-100.695,180.0,top
R10,85.62,-83.19,90.0,top
R11,94.54,-85.11,90.0,top
R12,89.47,-76.44,0.0,top
R14,95.91625,-91.02,90.0,top
R15,95.94625,-94.28,90.0,top
R16,133.85,-94.23,270.0,top
R17,92.9725,-104.33,270.0,top
R18,92.9725,-106.19,270.0,top
R2,89.0,-94.77,90.0,top
R3,88.99,-92.87,90.0,top
R4,125.24,-87.28,270.0,top
R5,90.95,-74.78,0.0,top
R6,127.0,-104.96,270.0,top
R7,94.48,-77.52,270.0,top
R8,102.87,-76.01,270.0,top
R9,85.55,-86.85,270.0,top
TH1,98.28,-84.14,270.0,top
TP1,102.22625,-90.12,0.0,bottom
TP2,102.22625,-93.67,0.0,bottom
TP3,113.721599,-101.508408,90.0,bottom
TP4,117.71,-93.62,0.0,bottom
TP5,118.341599,-96.211658,0.0,bottom
TP6,116.65,-104.35,0.0,bottom
U1,113.27,-96.17,180.0,top
U10,109.83,-87.52,0.0,top
U2,101.5325,-103.02,180.0,top
U3,95.3525,-81.39,0.0,top
U4,98.63625,-91.06,0.0,top
U5,124.79,-91.47,180.0,top
U6,98.67625,-94.46,0.0,top
U7,124.29,-103.4825,0.0,top
U8,81.9975,-97.25,180.0,top
U9,123.59,-84.0325,90.0,top
Y1,107.34,-95.815,270.0,top
